,EQUIPMENT_DESC,Count
0,L1 FILLER_ROTARY_CAN_72_VALVE,3745
1,L1 FILLER_ROTARY_BTL_60_VALVE,2738
2,L4 FILLER_ROTARY_CAN_100_VALVE,2511
3,L2 FILLER_ROTARY_BTL_45_VALVE,2072
4,L3 LABELER_ROTARY,1955
5,L4 SEAMER_ROTARY,1853
6,L4 PACKER_CASE,1576
7,L3 PACKER KHS TSP80V,1536
8,L3 FILLER_ROTARY_BTL_100_VALVE,1474
9,LINE 1 LABELER_ROTARY,1472
10,L1 CAPPER_RTRY,1320
11,L3 PACKR_CASE_WESTROCK_DD1250M,1180
12,L2 PALLETIZER_LINE 2_PAI,1101
13,L2 LABELER_BOTTLE_TRINE 4600_#1,1066
14,L2 CAPPER_RTRY_9HD,1045
15,L3 PACKER_CASE_TRAY_DOUGLAS,982
16,DRYER_AIR_REFRIG,958
17,L1 PACKR_CASE_WESTROCK_DD1250M,913
18,L2 LABELER_BOTTLE_TRINE 4600_#2,902
19,L4 DEPAL_ELECPNEU_ CAN,902
20,LINE 1 RINSER_IONIC,833
21,L3 DEPAL_ELECPNEU_ CAN,790
22,L2 DEPAL_ELECPNEU_BOTTLE,779
23,COMP_SCREW_AIR,769
24,L3 FILLER_ROTARY_CAN_124_VALVE,754
25,LINE 1 RINSER_LOWERATOR,684
26,L2 LABELER_ROTARY,628
27,CAN LINE 3 SEAMER,594
28,L4 WARMER_SPRAY,581
29,LINE 1 PACKER_TRAY,549
30,L2 RINSER_ROTARY_SIMPLIMATIC,519
31,LINE 1 DEPAL_ELECPNEU,514
32,CAN LINE 3 GPI PACKER,508
33,L4 RINSER_IONIC,497
34,L1 / L2 PALLETIZER_ELECPNEU,477
35,L4 GLUE_SYS_HOT_MELT_MEAD,460
36,LINE 2 MIXER_BLENZER,434
37,COND_EVAP_TOWER,415
38,L2 PACKR_CASE,405
39,PACKR_SHRINK (NOT USE),388
40,L1 GAS_GEN_OZONE_INJECTION_SKID,380
41,CAN LINE 3 DEPALLITIZER,380
42,L4 WRAPPER_STRETCH_OVERHEAD,377
43,WRAPPER_STRETCH_OVERHEAD,374
44,L1 HEATER_WATER_GAS_DIRECT_FIRE_WARMER,370
45,MONITOR_ENVIRONMENTAL_PH_MANHOLE,361
46,L3 LABELER_SLEEVE,355
47,TANK_SS_STOR_PH_NEUTRALIZATION_#1_5000G,355
48,L2 LINE 2 FILLER,354
49,TANK_SS_STOR_PH_NEUTRALIZATION_#2_5000G,354
50,PACKR_TAPE_GLUER (NOT USE),348
51,L1 SEAMER_ROTARY_CAN_12HD,347
52,L3 RINSER_LOWERATOR_BOTTLE,346
53,ILBM COOLING TOWER,344
54,TANK_STL_STOR_HOLDING_PERM_UF,336
55,L2 CONV_AIR_CAP_HOPPER,332
